category,workers,country,agency,scheme,description,impact,sources
Affordability,Self-employed / own-account,Uruguay,Banco de Previsión Social (BPS) & MIDES,Monotributo & Monotributo Social MIDES,"Unified monotax regime combining tax and social security into a single flat payment with a progressive, stepped contribution scale (25% in Year 1 to 100% in Year 4). The 2006 reform eased eligibility restrictions and admitted one-person businesses.","ILO records annual registration growth of one-person businesses rising from 1.3% per year (2002–2006) to 6.5% per year (2007–2009), roughly 12,722 additional registrations. Covers about 23% of the target population.",ILO WP 176; ILO (2017) Innovations in extending social insurance coverage to independent workers; WIEGO Monotax Uruguay
Affordability,Agricultural / rural workers,Brazil,Receita Federal & INSS,Simples Nacional / MEI & Previdência Rural (Segurado Especial),Monotax mechanism consolidating taxes into one flat monthly payment for micro-entrepreneurs (MEI contribution set at 5% of the minimum wage for social security). Rural subsistence farmers (segurado especial) contribute a levy on the gross sales value of their production rather than on wages.,"11.5 million MEI registrations active as of late 2024, of which over 90% are trading. Roughly one in four own-account workers is protected under the rural pension regime.",INSS (gov.br) Contribuição do Segurado Especial; Sebrae/Receita Federal 2024; ILO WP 176
Affordability,Self-employed / own-account,Costa Rica,Caja Costarricense de Seguro Social (CCSS),Mandatory Insurance for Self-Employed (Inversely Proportional Subsidies),"Categorized contribution scale based on reference income brackets, where state matching subsidies are inversely proportional to worker income. The state covers the difference between the worker's contribution and the full rate, plus an additional 0.25% of wages.","Self-employed pension coverage rose to 44.8% and health coverage to about 60% by 2009, from baselines of 15.9% and 30.5% respectively.",ILO (2017) Innovations in extending social insurance coverage to independent workers; ILO Guidebook
Affordability,Informal economy (general),Thailand,Social Security Office (SSO),Social Security Fund (SSF) Article 40,"Low flat-rate monthly contribution tiers (70, 100 or 300 THB per month) accompanied by matching state co-contributions for informal and gig workers, each tier buying a different benefit package.","Enrolled millions of informal workers across agriculture, trade and transport.",ILO WP 176; ASEAN Snapshot; ISSA Country Profile Thailand
Affordability,Self-employed / own-account,Algeria,CASNOS,Mandatory Social Security Fund for Non-Wage Earners,Unified mandatory social insurance scheme for non-salaried workers allowing a gradual 3-year scale-up of contribution bases for new entrants.,"Reached 1.7 million affiliated self-employed members by 2017, up from 1.28 million in 2013.",ILO WP 176
Affordability,Platform & gig workers,Malaysia,Employees Provident Fund (EPF / KWSP),EPF i-Saraan Voluntary Retirement Scheme,"Voluntary pension savings mechanism supported by an annual state matching incentive for self-employed and gig workers, currently set at 15% of contributions up to RM 500 per year.",Raises the effective return on savings for low-income gig workers and is paired with tax relief on voluntary contributions.,EPF/KWSP i-Saraan official page (2026); ASEAN Snapshot; WIEGO Presentation
Affordability,Self-employed / own-account,Singapore,CPF Board & Ministry of Manpower (MOM),Workfare Income Supplement (WIS) & CPF Transition Support,"Provides cash payouts and CPF top-ups for low-income self-employed citizens, paired with temporary state transition subsidies as contribution rates step up.",Buffers lower-income self-employed workers against contribution shocks while building long-term balances.,ASEAN Snapshot
Affordability,Self-employed / own-account,Cabo Verde,INPS / Commercial Registries,REMPE Micro-Enterprise Regime,"Unified special tax regime for micro and small enterprises providing temporary tax reductions (30% in Year 1, 20% in Year 2) to incentivise formal social insurance registration. Independent workers contribute 19.5% across income categories.",Independent-worker coverage under INPS went from zero to about 9% of the economically active population within roughly one year of introduction; associated with an annual reduction in informal employment.,ILO (2017) Innovations in extending social insurance coverage to independent workers; ILO WP 176; ILO Guidebook
Affordability,Self-employed / own-account,Argentina,AFIP (now ARCA) / ANSES,Monotributo & Monotributo Social,"Unified simplified tax and contribution regime for small independent workers, combining income tax, VAT and social security into one flat monthly fee, with a subsidised social tier for vulnerable workers.",Tripled registered micro-entrepreneurs and improved social insurance access for vulnerable workers.,ILO WP 176
Affordability,Informal economy (general),Ghana,National Health Insurance Authority (NHIA),NHIS Earmarked VAT Levy & Informal Flat-Rate Contributions,"Tax-financed health insurance system funded through an earmarked 2.5% VAT levy (NHIL) and flat-rate informal worker contributions with exemptions for indigents, children, the elderly and pregnant women.","Active membership reached about 56% of the national population (over 18 million active members) by 2024–25, up from roughly 40% a decade earlier, substantially reducing out-of-pocket health expenditure.",NHIA/NHIS Ghana news releases (2024–25); ILO WP 176
